,timestep,younglings,ghosts
16,5000,[],"[84312, 84682, 85117, 85940, 86236, 86499, 86627, 86796, 86990, 86979, 87013, 87033, 87059, 87112, 87145, 87348, 87435, 87431, 87517, 87539, 87573, 87681, 87677, 87717, 87764]"
10,20000,[],"[307735, 308339, 308426, 308480, 308553, 308563, 308559]"
13,40000,[],"[637076, 638274, 639399, 640260, 640578, 640598, 640637, 640652, 640684, 640765, 640926, 640916, 640930, 641060, 641120, 641127, 641147, 641317, 641316, 641351, 641362, 641440, 641436, 641445, 641481, 641494, 641687, 641700]"
5,125000,[],"[1923582, 1923600, 1923610, 1923613, 1923621, 1923656, 1923687]"
9,150000,[],"[2101078, 2101122, 2101205, 2101230, 2101239, 2101249, 2101253, 2101257, 2101264]"
11,200000,[],"[2498895, 2498897]"
12,300000,[],"[3408862, 3409481, 3409474, 3409541, 3409593, 3409610, 3409662, 3409708, 3409801, 3409842, 3409881]"
14,400000,[],"[4020114, 4020118, 4020126, 4020143, 4020192, 4020190, 4020207]"
15,450000,[],"[4312872, 4312895, 4313084, 4313093, 4313171, 4313205, 4313225, 4313243]"
17,500000,[],"[4582301, 4612305, 4612324]"
18,520000,[],"[4726211, 4726585, 4726989, 4727046, 4727658, 4727760, 4727835, 4727854, 4727910, 4727922]"
19,520243,[],"[4729354, 4729597, 4729695, 4729704, 4729701, 4729719]"
20,520244,[],"[4728495, 4729624, 4729703, 4729698, 4729697, 4729709, 4729717, 4729715, 4729714, 4729757]"
21,550000,[],"[4945743, 4945954, 4945990, 4945985, 4945981, 4945979, 4945978, 4945977]"
22,570000,[],"[5076373, 5076597, 5076633, 5076814]"
23,570075,[],"[5077082, 5077099, 5077122, 5077153, 5077229, 5077262, 5077272, 5077309, 5077297, 5077314]"
24,570076,[],"[5077044, 5077093, 5077095, 5077168, 5077244, 5077259, 5077305, 5077300, 5077321, 5077329]"
25,600000,[],"[5254536, 5255561]"
26,620000,[],"[5407227, 5407326, 5407341, 5407359, 5407380]"
27,620456,[],"[5408057, 5408864, 5410664, 5411051, 5411137, 5411151, 5411157]"
28,620457,[],"[5410367, 5410552, 5410838, 5410876, 5411037, 5411081, 5411147, 5411142, 5411141, 5411140, 5411158, 5411168, 5411180]"
29,650000,[],"[5637701, 5637775, 5638064, 5638207, 5638317]"
30,669413,[],"[5785987, 5786052, 5786136, 5786148, 5786164, 5786238]"
31,669414,[],"[5785973, 5786218, 5786247, 5786240]"
32,700000,[],"[6005277, 6006088, 6006121, 6006130]"
33,730000,[],"[6172915, 6172914, 6172944]"
34,750000,[],"[6288946, 6288955, 6288959, 6288983, 6288982, 6289036, 6289030, 6289041, 6289063]"
35,760000,[],"[6362979, 6363289, 6363424, 6363477, 6363558, 6363614, 6363654, 6363664, 6363698]"
36,800000,[],"[6675102, 6675375, 6675478, 6675475, 6675473, 6675507]"
37,850000,[],"[7026411, 7029937, 7030417, 7030777, 7030912]"
38,900000,[],"[7414616, 7414772, 7414906, 7414925]"
39,950000,[],"[7754742, 7754734, 7754833, 7754837, 7754887, 7754886]"
0,1000000,[],"[8052766, 8052784]"
1,1050000,[],"[8400361, 8400479]"
2,1100000,[],"[8946744, 8948329, 8948478, 8948564, 8948856, 8949350, 8949423, 8949435, 8949452, 8949456, 8949498]"
3,1150000,[],"[9474886, 9478325, 9478396, 9478415, 9478484, 9478482, 9478480, 9478478]"
4,1200000,[],"[9896563, 9896639, 9896669, 9896864, 9896896]"
6,1250000,[],"[10327027, 10329445, 10330499, 10330588, 10330695, 10331502, 10331806, 10331819, 10331900, 10332005, 10332610, 10332808, 10332844, 10332912, 10333072, 10333119, 10333125, 10333183, 10333219, 10333257, 10333273, 10333316, 10333536, 10333555, 10333571, 10333580, 10333579, 10333629, 10333673, 10333698, 10333831, 10333968, 10333984, 10333977, 10334024, 10334022, 10334034, 10334041, 10334111, 10334150, 10334175, 10334173, 10334171, 10334229, 10334224, 10334240, 10334247, 10334310, 10334303, 10334314, 10334347, 10334363, 10334373, 10334371, 10334387, 10334412, 10334410, 10334448, 10334434, 10334433, 10334456, 10334462, 10334487, 10334517, 10334511, 10334544, 10334559, 10334591, 10334612, 10334622, 10334637, 10334651, 10334663, 10334662, 10334673, 10334684, 10334682, 10334686, 10334695, 10334693, 10334697, 10334702, 10334723, 10334715, 10334732, 10334728, 10334724, 10334740, 10334746, 10334745, 10334759, 10334782, 10334780, 10334798, 10334793, 10334785, 10334818, 10334827, 10334839, 10334834, 10334858, 10334855, 10334867, 10334866, 10334871, 10334870, 10334869, 10334882, 10334881, 10334879, 10334887, 10334885, 10334901, 10334898, 10334896, 10334905, 10334903, 10334902, 10334925, 10334921, 10334918, 10334912, 10334911, 10334933, 10334926, 10334940, 10334936, 10334947, 10334945, 10334942, 10334941, 10334954, 10334952, 10334950, 10334949, 10334968, 10334966, 10334965, 10334960, 10334959, 10334976, 10334973, 10334980, 10334978, 10334984, 10334983, 10334982, 10334989, 10334988, 10334987, 10334986, 10335002, 10335001, 10334999, 10334993, 10334991, 10335005, 10335004, 10335011, 10335010, 10335009, 10335018, 10335017, 10335016, 10335015, 10335026, 10335022, 10335038, 10335037, 10335036, 10335031, 10335028, 10335051, 10335050, 10335049, 10335048, 10335047, 10335046, 10335044, 10335042, 10335040, 10335039, 10335056, 10335055, 10335053, 10335052, 10335093, 10335092, 10335091, 10335090, 10335089, 10335088, 10335087, 10335086, 10335085, 10335084, 10335083, 10335082, 10335081, 10335080, 10335079, 10335078, 10335076, 10335075, 10335074, 10335073, 10335072, 10335071, 10335070, 10335069, 10335068, 10335066, 10335065, 10335064, 10335062, 10335060, 10335059, 10335058, 10335103, 10335101, 10335100, 10335099, 10335098, 10335097, 10335096, 10335095, 10335094, 10335108, 10335107, 10335106, 10335105, 10335104, 10335116, 10335115, 10335114, 10335113, 10335112, 10335111, 10335110, 10335109]"
7,1300000,[],"[10594526, 10608318, 10608841]"
8,1300460,[],"[10594526, 10608318, 10608841]"
